comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T - lgbm S,p@50,29,0.06,0.08,-0.020000000000000004
lgbm S+T - lgbm S,p@50,30,0.0,0.04,-0.04
lgbm S+T - lgbm S,p@50,31,0.02,0.06,-0.039999999999999994
lgbm S+T - lgbm S,p@50,32,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,33,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,34,0.06,0.02,0.039999999999999994
lgbm S+T - lgbm S,p@50,35,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,36,0.02,0.0,0.02
lgbm S+T - lgbm S,p@50,37,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,38,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,39,0.04,0.02,0.02
lgbm S+T - lgbm S,p@50,40,0.02,0.0,0.02
lgbm S+T - lgbm S,p@50,41,0.02,0.0,0.02
lgbm S+T - lgbm S,p@50,42,0.02,0.0,0.02
lgbm S+T - lgbm S,p@50,43,0.0,0.02,-0.02
lgbm S+T - lgbm S,p@50,44,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,45,0.08,0.02,0.06
lgbm S+T - lgbm S,p@50,46,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,47,0.02,0.02,0.0
lgbm S+T - lgbm S,p@50,48,0.04,0.06,-0.019999999999999997
lgbm S+T - lgbm S,p@50,49,0.02,0.0,0.02
lgbm S+T - lgbm S,p@100,25,0.02,0.01,0.01
lgbm S+T - lgbm S,p@100,26,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,27,0.03,0.02,0.009999999999999998
lgbm S+T - lgbm S,p@100,28,0.06,0.03,0.03
lgbm S+T - lgbm S,p@100,29,0.03,0.04,-0.010000000000000002
lgbm S+T - lgbm S,p@100,30,0.01,0.03,-0.019999999999999997
lgbm S+T - lgbm S,p@100,31,0.02,0.03,-0.009999999999999998
lgbm S+T - lgbm S,p@100,32,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,33,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,34,0.03,0.02,0.009999999999999998
lgbm S+T - lgbm S,p@100,35,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,36,0.02,0.0,0.02
lgbm S+T - lgbm S,p@100,37,0.01,0.0,0.01
lgbm S+T - lgbm S,p@100,38,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,39,0.05,0.01,0.04
lgbm S+T - lgbm S,p@100,40,0.02,0.01,0.01
lgbm S+T - lgbm S,p@100,41,0.01,0.0,0.01
lgbm S+T - lgbm S,p@100,42,0.01,0.01,0.0
lgbm S+T - lgbm S,p@100,43,0.0,0.01,-0.01
lgbm S+T - lgbm S,p@100,44,0.0,0.01,-0.01
lgbm S+T - lgbm S,p@100,45,0.04,0.01,0.03
lgbm S+T - lgbm S,p@100,46,0.0,0.0,0.0
lgbm S+T - lgbm S,p@100,47,0.01,0.01,0.0
lgbm S+T - lgbm S,p@100,48,0.03,0.03,0.0
lgbm S+T - lgbm S,p@100,49,0.01,0.02,-0.01
lgbm S+T+C - lgbm S+T,roc_auc,25,0.8974499949994998,0.8983963396339635,-0.0009463446344636361
