model,feature_set,n_folds,total_test_pos,mean_roc_auc,std_roc_auc,median_roc_auc,mean_pr_auc,std_pr_auc,median_pr_auc,mean_p50,mean_p100
issuer_risk_only,heuristic,25,425,0.755412365711294,0.12697121436919004,0.7877281478147815,0.0008313168476107203,0.0005365056489388464,0.0007788563584439684,0.0008,0.0004
lgbm,S,25,425,0.8543065522826364,0.07520435341314802,0.8618436382728706,0.007625793098722505,0.009742663357920093,0.005169660356622632,0.016800000000000002,0.012000000000000002
lgbm,S+T,25,425,0.8850441289744143,0.06238044000230044,0.8983963396339635,0.01912166493770775,0.02745660979406691,0.0055817158139435455,0.022400000000000003,0.0164
lgbm,S+T+C,25,425,0.8944870877259211,0.06797843948885345,0.9069162440297853,0.012208106070064846,0.014560070053564377,0.007519482290374972,0.0208,0.0148
recency_only,heuristic,25,425,0.8857956477157518,0.06216959865153286,0.9029597367789424,0.011205959408570491,0.01534189406072412,0.004543081848770177,0.018400000000000003,0.011600000000000001
structural_heuristic,heuristic,25,425,0.7717055871809627,0.07291280793442283,0.7699731838371543,0.005911468691452233,0.012131428374571937,0.0018887824976546092,0.012000000000000002,0.008400000000000001
victim_risk_only,heuristic,25,425,0.698114693203002,0.109133591295294,0.6789982261080887,0.0008555490956700856,0.0012350277682359248,0.0003801835459121609,0.0024,0.002
